,date,variable,value
253,2019-04-14,best mince pies 2019,0
254,2019-04-21,best mince pies 2019,0
255,2019-04-28,best mince pies 2019,0
256,2019-05-05,best mince pies 2019,0
257,2019-05-12,best mince pies 2019,0
258,2019-05-19,best mince pies 2019,0
259,2019-05-26,best mince pies 2019,0
260,2019-06-02,best mince pies 2019,0
261,2019-06-09,best mince pies 2019,0
262,2019-06-16,best mince pies 2019,0
263,2019-06-23,best mince pies 2019,0
264,2019-06-30,best mince pies 2019,0
265,2019-07-07,best mince pies 2019,0
266,2019-07-14,best mince pies 2019,0
267,2019-07-21,best mince pies 2019,0
268,2019-07-28,best mince pies 2019,0
269,2019-08-04,best mince pies 2019,0
270,2019-08-11,best mince pies 2019,0
271,2019-08-18,best mince pies 2019,0
272,2019-08-25,best mince pies 2019,0
273,2019-09-01,best mince pies 2019,0
274,2019-09-08,best mince pies 2019,0
275,2019-09-15,best mince pies 2019,0
276,2019-09-22,best mince pies 2019,0
277,2019-09-29,best mince pies 2019,4
278,2019-10-06,best mince pies 2019,4
279,2019-10-13,best mince pies 2019,9
280,2019-10-20,best mince pies 2019,9
281,2019-10-27,best mince pies 2019,10
282,2019-11-03,best mince pies 2019,22
283,2019-11-10,best mince pies 2019,31
284,2019-11-17,best mince pies 2019,68
285,2019-11-24,best mince pies 2019,67
286,2019-12-01,best mince pies 2019,99
287,2019-12-08,best mince pies 2019,100
288,2019-12-15,best mince pies 2019,86
289,2019-12-22,best mince pies 2019,41
290,2019-12-29,best mince pies 2019,4
291,2020-01-05,best mince pies 2019,0
292,2020-01-12,best mince pies 2019,0
293,2020-01-19,best mince pies 2019,0
294,2020-01-26,best mince pies 2019,0
295,2020-02-02,best mince pies 2019,0
296,2020-02-09,best mince pies 2019,4
297,2020-02-16,best mince pies 2019,0
298,2020-02-23,best mince pies 2019,0
299,2020-03-01,best mince pies 2019,0
300,2019-03-24,best gin 2019,7
301,2019-03-31,best gin 2019,0
302,2019-04-07,best gin 2019,20
303,2019-04-14,best gin 2019,7
304,2019-04-21,best gin 2019,20
305,2019-04-28,best gin 2019,0
306,2019-05-05,best gin 2019,6
307,2019-05-12,best gin 2019,6
308,2019-05-19,best gin 2019,7
309,2019-05-26,best gin 2019,6
310,2019-06-02,best gin 2019,24
311,2019-06-09,best gin 2019,9
312,2019-06-16,best gin 2019,10
313,2019-06-23,best gin 2019,32
314,2019-06-30,best gin 2019,19
315,2019-07-07,best gin 2019,22
316,2019-07-14,best gin 2019,22
317,2019-07-21,best gin 2019,16
318,2019-07-28,best gin 2019,10
319,2019-08-04,best gin 2019,16
320,2019-08-11,best gin 2019,19
321,2019-08-18,best gin 2019,20
322,2019-08-25,best gin 2019,20
323,2019-09-01,best gin 2019,16
324,2019-09-08,best gin 2019,12
325,2019-09-15,best gin 2019,19
326,2019-09-22,best gin 2019,18
327,2019-09-29,best gin 2019,12
328,2019-10-06,best gin 2019,9
329,2019-10-13,best gin 2019,18
330,2019-10-20,best gin 2019,18
331,2019-10-27,best gin 2019,21
332,2019-11-03,best gin 2019,26
333,2019-11-10,best gin 2019,26
334,2019-11-17,best gin 2019,14
335,2019-11-24,best gin 2019,30
336,2019-12-01,best gin 2019,34
337,2019-12-08,best gin 2019,50
338,2019-12-15,best gin 2019,100
339,2019-12-22,best gin 2019,20
340,2019-12-29,best gin 2019,15
341,2020-01-05,best gin 2019,6
342,2020-01-12,best gin 2019,11
343,2020-01-19,best gin 2019,11
344,2020-01-26,best gin 2019,6
345,2020-02-02,best gin 2019,9
346,2020-02-09,best gin 2019,8
347,2020-02-16,best gin 2019,11
348,2020-02-23,best gin 2019,5
349,2020-03-01,best gin 2019,13
350,2019-03-24,best whisky 2019,22
351,2019-03-31,best whisky 2019,0
352,2019-04-07,best whisky 2019,0
353,2019-04-14,best whisky 2019,23
354,2019-04-21,best whisky 2019,54
355,2019-04-28,best whisky 2019,41
356,2019-05-05,best whisky 2019,32
357,2019-05-12,best whisky 2019,43
358,2019-05-19,best whisky 2019,43
359,2019-05-26,best whisky 2019,63
360,2019-06-02,best whisky 2019,20
361,2019-06-09,best whisky 2019,41
362,2019-06-16,best whisky 2019,21
363,2019-06-23,best whisky 2019,43
364,2019-06-30,best whisky 2019,21
365,2019-07-07,best whisky 2019,42
366,2019-07-14,best whisky 2019,28
367,2019-07-21,best whisky 2019,22
368,2019-07-28,best whisky 2019,22
369,2019-08-04,best whisky 2019,35
370,2019-08-11,best whisky 2019,21
371,2019-08-18,best whisky 2019,22
372,2019-08-25,best whisky 2019,21
373,2019-09-01,best whisky 2019,41
374,2019-09-08,best whisky 2019,41
375,2019-09-15,best whisky 2019,20
376,2019-09-22,best whisky 2019,52
377,2019-09-29,best whisky 2019,20
378,2019-10-06,best whisky 2019,19
379,2019-10-13,best whisky 2019,29
380,2019-10-20,best whisky 2019,39
381,2019-10-27,best whisky 2019,29
382,2019-11-03,best whisky 2019,50
383,2019-11-10,best whisky 2019,38
384,2019-11-17,best whisky 2019,44
385,2019-11-24,best whisky 2019,55
386,2019-12-01,best whisky 2019,69
387,2019-12-08,best whisky 2019,64
388,2019-12-15,best whisky 2019,100
389,2019-12-22,best whisky 2019,58
390,2019-12-29,best whisky 2019,20
391,2020-01-05,best whisky 2019,36
392,2020-01-12,best whisky 2019,24
393,2020-01-19,best whisky 2019,66
394,2020-01-26,best whisky 2019,18
395,2020-02-02,best whisky 2019,37
396,2020-02-09,best whisky 2019,18
397,2020-02-16,best whisky 2019,27
398,2020-02-23,best whisky 2019,23
399,2020-03-01,best whisky 2019,0
400,2019-03-24,best sushi near me,2
401,2019-03-31,best sushi near me,4
402,2019-04-07,best sushi near me,2
403,2019-04-14,best sushi near me,2
404,2019-04-21,best sushi near me,2
405,2019-04-28,best sushi near me,2
406,2019-05-05,best sushi near me,2
407,2019-05-12,best sushi near me,2
408,2019-05-19,best sushi near me,1
409,2019-05-26,best sushi near me,3
410,2019-06-02,best sushi near me,2
411,2019-06-09,best sushi near me,1
412,2019-06-16,best sushi near me,3
413,2019-06-23,best sushi near me,1
414,2019-06-30,best sushi near me,3
415,2019-07-07,best sushi near me,4
416,2019-07-14,best sushi near me,14
417,2019-07-21,best sushi near me,15
418,2019-07-28,best sushi near me,30
419,2019-08-04,best sushi near me,34
