,date,variable,value
225,2019-09-22,vegan galaxy,5
226,2019-09-29,vegan galaxy,2
227,2019-10-06,vegan galaxy,0
228,2019-10-13,vegan galaxy,2
229,2019-10-20,vegan galaxy,2
230,2019-10-27,vegan galaxy,2
231,2019-11-03,vegan galaxy,2
232,2019-11-10,vegan galaxy,100
233,2019-11-17,vegan galaxy,75
234,2019-11-24,vegan galaxy,46
235,2019-12-01,vegan galaxy,28
236,2019-12-08,vegan galaxy,24
237,2019-12-15,vegan galaxy,31
238,2019-12-22,vegan galaxy,19
239,2019-12-29,vegan galaxy,20
240,2020-01-05,vegan galaxy,21
241,2020-01-12,vegan galaxy,15
242,2020-01-19,vegan galaxy,16
243,2020-01-26,vegan galaxy,10
244,2020-02-02,vegan galaxy,12
245,2020-02-09,vegan galaxy,8
246,2020-02-16,vegan galaxy,10
247,2020-02-23,vegan galaxy,6
248,2020-03-01,vegan galaxy,10
249,2020-03-08,vegan galaxy,9
250,2019-03-31,vegan kfc,1
251,2019-04-07,vegan kfc,1
252,2019-04-14,vegan kfc,0
253,2019-04-21,vegan kfc,1
254,2019-04-28,vegan kfc,2
255,2019-05-05,vegan kfc,1
256,2019-05-12,vegan kfc,1
257,2019-05-19,vegan kfc,0
258,2019-05-26,vegan kfc,1
259,2019-06-02,vegan kfc,0
260,2019-06-09,vegan kfc,11
261,2019-06-16,vegan kfc,28
262,2019-06-23,vegan kfc,7
263,2019-06-30,vegan kfc,8
264,2019-07-07,vegan kfc,7
265,2019-07-14,vegan kfc,4
266,2019-07-21,vegan kfc,4
267,2019-07-28,vegan kfc,3
268,2019-08-04,vegan kfc,4
269,2019-08-11,vegan kfc,3
270,2019-08-18,vegan kfc,3
271,2019-08-25,vegan kfc,10
272,2019-09-01,vegan kfc,3
273,2019-09-08,vegan kfc,3
274,2019-09-15,vegan kfc,2
275,2019-09-22,vegan kfc,2
276,2019-09-29,vegan kfc,1
277,2019-10-06,vegan kfc,2
278,2019-10-13,vegan kfc,1
279,2019-10-20,vegan kfc,1
280,2019-10-27,vegan kfc,2
281,2019-11-03,vegan kfc,2
282,2019-11-10,vegan kfc,2
283,2019-11-17,vegan kfc,3
284,2019-11-24,vegan kfc,1
285,2019-12-01,vegan kfc,2
286,2019-12-08,vegan kfc,3
287,2019-12-15,vegan kfc,3
288,2019-12-22,vegan kfc,4
289,2019-12-29,vegan kfc,100
290,2020-01-05,vegan kfc,64
291,2020-01-12,vegan kfc,31
292,2020-01-19,vegan kfc,24
293,2020-01-26,vegan kfc,25
294,2020-02-02,vegan kfc,13
295,2020-02-09,vegan kfc,7
296,2020-02-16,vegan kfc,8
297,2020-02-23,vegan kfc,7
298,2020-03-01,vegan kfc,6
299,2020-03-08,vegan kfc,4
300,2019-03-31,applewood vegan cheese,0
301,2019-04-07,applewood vegan cheese,0
302,2019-04-14,applewood vegan cheese,0
303,2019-04-21,applewood vegan cheese,0
304,2019-04-28,applewood vegan cheese,0
305,2019-05-05,applewood vegan cheese,0
306,2019-05-12,applewood vegan cheese,0
307,2019-05-19,applewood vegan cheese,0
308,2019-05-26,applewood vegan cheese,0
309,2019-06-02,applewood vegan cheese,0
310,2019-06-09,applewood vegan cheese,0
311,2019-06-16,applewood vegan cheese,0
312,2019-06-23,applewood vegan cheese,0
313,2019-06-30,applewood vegan cheese,0
314,2019-07-07,applewood vegan cheese,0
315,2019-07-14,applewood vegan cheese,16
316,2019-07-21,applewood vegan cheese,0
317,2019-07-28,applewood vegan cheese,0
318,2019-08-04,applewood vegan cheese,0
319,2019-08-11,applewood vegan cheese,16
320,2019-08-18,applewood vegan cheese,0
321,2019-08-25,applewood vegan cheese,0
322,2019-09-01,applewood vegan cheese,0
323,2019-09-08,applewood vegan cheese,0
324,2019-09-15,applewood vegan cheese,42
325,2019-09-22,applewood vegan cheese,74
326,2019-09-29,applewood vegan cheese,100
327,2019-10-06,applewood vegan cheese,89
328,2019-10-13,applewood vegan cheese,69
329,2019-10-20,applewood vegan cheese,89
330,2019-10-27,applewood vegan cheese,94
331,2019-11-03,applewood vegan cheese,43
332,2019-11-10,applewood vegan cheese,63
333,2019-11-17,applewood vegan cheese,67
334,2019-11-24,applewood vegan cheese,37
335,2019-12-01,applewood vegan cheese,48
336,2019-12-08,applewood vegan cheese,64
337,2019-12-15,applewood vegan cheese,51
338,2019-12-22,applewood vegan cheese,72
339,2019-12-29,applewood vegan cheese,85
340,2020-01-05,applewood vegan cheese,75
341,2020-01-12,applewood vegan cheese,60
342,2020-01-19,applewood vegan cheese,71
343,2020-01-26,applewood vegan cheese,51
344,2020-02-02,applewood vegan cheese,57
345,2020-02-09,applewood vegan cheese,41
346,2020-02-16,applewood vegan cheese,73
347,2020-02-23,applewood vegan cheese,20
348,2020-03-01,applewood vegan cheese,31
349,2020-03-08,applewood vegan cheese,25
350,2019-03-31,kfc vegan chicken,3
351,2019-04-07,kfc vegan chicken,0
352,2019-04-14,kfc vegan chicken,3
353,2019-04-21,kfc vegan chicken,2
354,2019-04-28,kfc vegan chicken,5
355,2019-05-05,kfc vegan chicken,7
356,2019-05-12,kfc vegan chicken,2
357,2019-05-19,kfc vegan chicken,0
358,2019-05-26,kfc vegan chicken,4
359,2019-06-02,kfc vegan chicken,0
360,2019-06-09,kfc vegan chicken,18
361,2019-06-16,kfc vegan chicken,20
362,2019-06-23,kfc vegan chicken,8
363,2019-06-30,kfc vegan chicken,4
364,2019-07-07,kfc vegan chicken,6
365,2019-07-14,kfc vegan chicken,5
366,2019-07-21,kfc vegan chicken,2
367,2019-07-28,kfc vegan chicken,2
368,2019-08-04,kfc vegan chicken,2
369,2019-08-11,kfc vegan chicken,2
370,2019-08-18,kfc vegan chicken,2
371,2019-08-25,kfc vegan chicken,15
372,2019-09-01,kfc vegan chicken,5
373,2019-09-08,kfc vegan chicken,4
374,2019-09-15,kfc vegan chicken,4
375,2019-09-22,kfc vegan chicken,2
376,2019-09-29,kfc vegan chicken,3
377,2019-10-06,kfc vegan chicken,2
378,2019-10-13,kfc vegan chicken,2
379,2019-10-20,kfc vegan chicken,2
380,2019-10-27,kfc vegan chicken,2
381,2019-11-03,kfc vegan chicken,2
382,2019-11-10,kfc vegan chicken,3
383,2019-11-17,kfc vegan chicken,3
384,2019-11-24,kfc vegan chicken,2
385,2019-12-01,kfc vegan chicken,2
386,2019-12-08,kfc vegan chicken,2
387,2019-12-15,kfc vegan chicken,4
388,2019-12-22,kfc vegan chicken,3
389,2019-12-29,kfc vegan chicken,100
390,2020-01-05,kfc vegan chicken,41
391,2020-01-12,kfc vegan chicken,9
392,2020-01-19,kfc vegan chicken,9
393,2020-01-26,kfc vegan chicken,7
394,2020-02-02,kfc vegan chicken,3
395,2020-02-09,kfc vegan chicken,4
396,2020-02-16,kfc vegan chicken,3
397,2020-02-23,kfc vegan chicken,6
398,2020-03-01,kfc vegan chicken,4
399,2020-03-08,kfc vegan chicken,3
400,2019-03-31,vegan all sorts,0
401,2019-04-07,vegan all sorts,0
402,2019-04-14,vegan all sorts,0
403,2019-04-21,vegan all sorts,0
404,2019-04-28,vegan all sorts,28
405,2019-05-05,vegan all sorts,0
406,2019-05-12,vegan all sorts,66
407,2019-05-19,vegan all sorts,99
408,2019-05-26,vegan all sorts,37
409,2019-06-02,vegan all sorts,80
410,2019-06-09,vegan all sorts,41
411,2019-06-16,vegan all sorts,28
412,2019-06-23,vegan all sorts,56
413,2019-06-30,vegan all sorts,56
414,2019-07-07,vegan all sorts,56
415,2019-07-14,vegan all sorts,46
416,2019-07-21,vegan all sorts,29
417,2019-07-28,vegan all sorts,100
418,2019-08-04,vegan all sorts,46
419,2019-08-11,vegan all sorts,97
420,2019-08-18,vegan all sorts,71
421,2019-08-25,vegan all sorts,42
422,2019-09-01,vegan all sorts,63
423,2019-09-08,vegan all sorts,0
