,date,variable,value
385,2019-12-01,restaurants in norwich,62
386,2019-12-08,restaurants in norwich,56
387,2019-12-15,restaurants in norwich,51
388,2019-12-22,restaurants in norwich,84
389,2019-12-29,restaurants in norwich,72
390,2020-01-05,restaurants in norwich,60
391,2020-01-12,restaurants in norwich,60
392,2020-01-19,restaurants in norwich,82
393,2020-01-26,restaurants in norwich,71
394,2020-02-02,restaurants in norwich,82
395,2020-02-09,restaurants in norwich,93
396,2020-02-16,restaurants in norwich,50
397,2020-02-23,restaurants in norwich,71
398,2020-03-01,restaurants in norwich,58
399,2020-03-08,restaurants in norwich,42
400,2019-03-31,restaurants near me now,48
401,2019-04-07,restaurants near me now,58
402,2019-04-14,restaurants near me now,61
403,2019-04-21,restaurants near me now,66
404,2019-04-28,restaurants near me now,43
405,2019-05-05,restaurants near me now,54
406,2019-05-12,restaurants near me now,34
407,2019-05-19,restaurants near me now,38
408,2019-05-26,restaurants near me now,47
409,2019-06-02,restaurants near me now,51
410,2019-06-09,restaurants near me now,53
411,2019-06-16,restaurants near me now,44
412,2019-06-23,restaurants near me now,37
413,2019-06-30,restaurants near me now,71
414,2019-07-07,restaurants near me now,60
415,2019-07-14,restaurants near me now,50
416,2019-07-21,restaurants near me now,55
417,2019-07-28,restaurants near me now,72
418,2019-08-04,restaurants near me now,67
419,2019-08-11,restaurants near me now,83
420,2019-08-18,restaurants near me now,72
421,2019-08-25,restaurants near me now,81
422,2019-09-01,restaurants near me now,72
423,2019-09-08,restaurants near me now,91
424,2019-09-15,restaurants near me now,39
425,2019-09-22,restaurants near me now,100
426,2019-09-29,restaurants near me now,35
427,2019-10-06,restaurants near me now,47
428,2019-10-13,restaurants near me now,59
429,2019-10-20,restaurants near me now,66
430,2019-10-27,restaurants near me now,62
431,2019-11-03,restaurants near me now,45
432,2019-11-10,restaurants near me now,46
433,2019-11-17,restaurants near me now,30
434,2019-11-24,restaurants near me now,47
435,2019-12-01,restaurants near me now,45
436,2019-12-08,restaurants near me now,34
437,2019-12-15,restaurants near me now,70
438,2019-12-22,restaurants near me now,73
439,2019-12-29,restaurants near me now,60
440,2020-01-05,restaurants near me now,41
441,2020-01-12,restaurants near me now,23
442,2020-01-19,restaurants near me now,54
443,2020-01-26,restaurants near me now,44
444,2020-02-02,restaurants near me now,36
445,2020-02-09,restaurants near me now,43
446,2020-02-16,restaurants near me now,58
447,2020-02-23,restaurants near me now,25
448,2020-03-01,restaurants near me now,40
449,2020-03-08,restaurants near me now,27
