,date,variable,value
374,2019-09-15,best christmas pudding 2019,0
375,2019-09-22,best christmas pudding 2019,0
376,2019-09-29,best christmas pudding 2019,6
377,2019-10-06,best christmas pudding 2019,5
378,2019-10-13,best christmas pudding 2019,5
379,2019-10-20,best christmas pudding 2019,11
380,2019-10-27,best christmas pudding 2019,15
381,2019-11-03,best christmas pudding 2019,14
382,2019-11-10,best christmas pudding 2019,29
383,2019-11-17,best christmas pudding 2019,27
384,2019-11-24,best christmas pudding 2019,46
385,2019-12-01,best christmas pudding 2019,73
386,2019-12-08,best christmas pudding 2019,54
387,2019-12-15,best christmas pudding 2019,100
388,2019-12-22,best christmas pudding 2019,39
389,2019-12-29,best christmas pudding 2019,6
390,2020-01-05,best christmas pudding 2019,0
391,2020-01-12,best christmas pudding 2019,0
392,2020-01-19,best christmas pudding 2019,0
393,2020-01-26,best christmas pudding 2019,0
394,2020-02-02,best christmas pudding 2019,0
395,2020-02-09,best christmas pudding 2019,0
396,2020-02-16,best christmas pudding 2019,0
397,2020-02-23,best christmas pudding 2019,0
398,2020-03-01,best christmas pudding 2019,0
399,2020-03-08,best christmas pudding 2019,0
400,2019-03-31,best sushi near me,3
401,2019-04-07,best sushi near me,3
402,2019-04-14,best sushi near me,3
403,2019-04-21,best sushi near me,4
404,2019-04-28,best sushi near me,1
405,2019-05-05,best sushi near me,2
406,2019-05-12,best sushi near me,2
407,2019-05-19,best sushi near me,2
408,2019-05-26,best sushi near me,3
409,2019-06-02,best sushi near me,3
410,2019-06-09,best sushi near me,2
411,2019-06-16,best sushi near me,0
412,2019-06-23,best sushi near me,3
413,2019-06-30,best sushi near me,3
414,2019-07-07,best sushi near me,6
415,2019-07-14,best sushi near me,11
416,2019-07-21,best sushi near me,11
417,2019-07-28,best sushi near me,29
418,2019-08-04,best sushi near me,32
419,2019-08-11,best sushi near me,25
420,2019-08-18,best sushi near me,37
421,2019-08-25,best sushi near me,35
422,2019-09-01,best sushi near me,48
423,2019-09-08,best sushi near me,50
424,2019-09-15,best sushi near me,72
425,2019-09-22,best sushi near me,100
426,2019-09-29,best sushi near me,17
427,2019-10-06,best sushi near me,4
428,2019-10-13,best sushi near me,3
429,2019-10-20,best sushi near me,3
430,2019-10-27,best sushi near me,3
431,2019-11-03,best sushi near me,2
432,2019-11-10,best sushi near me,2
433,2019-11-17,best sushi near me,3
434,2019-11-24,best sushi near me,2
435,2019-12-01,best sushi near me,0
436,2019-12-08,best sushi near me,4
437,2019-12-15,best sushi near me,2
438,2019-12-22,best sushi near me,2
439,2019-12-29,best sushi near me,3
440,2020-01-05,best sushi near me,3
441,2020-01-12,best sushi near me,2
442,2020-01-19,best sushi near me,1
443,2020-01-26,best sushi near me,1
444,2020-02-02,best sushi near me,2
445,2020-02-09,best sushi near me,1
446,2020-02-16,best sushi near me,3
447,2020-02-23,best sushi near me,2
448,2020-03-01,best sushi near me,2
449,2020-03-08,best sushi near me,2
450,2019-03-31,best curry near me,25
451,2019-04-07,best curry near me,41
452,2019-04-14,best curry near me,29
453,2019-04-21,best curry near me,66
454,2019-04-28,best curry near me,42
455,2019-05-05,best curry near me,48
456,2019-05-12,best curry near me,50
457,2019-05-19,best curry near me,38
458,2019-05-26,best curry near me,37
459,2019-06-02,best curry near me,31
460,2019-06-09,best curry near me,32
461,2019-06-16,best curry near me,27
462,2019-06-23,best curry near me,27
463,2019-06-30,best curry near me,57
464,2019-07-07,best curry near me,37
465,2019-07-14,best curry near me,43
466,2019-07-21,best curry near me,44
