,date,variable,value
419,2019-08-11,good food channel,10
420,2019-08-18,good food channel,7
421,2019-08-25,good food channel,7
422,2019-09-01,good food channel,10
423,2019-09-08,good food channel,100
424,2019-09-15,good food channel,53
425,2019-09-22,good food channel,19
426,2019-09-29,good food channel,13
427,2019-10-06,good food channel,8
428,2019-10-13,good food channel,11
429,2019-10-20,good food channel,13
430,2019-10-27,good food channel,25
431,2019-11-03,good food channel,8
432,2019-11-10,good food channel,14
433,2019-11-17,good food channel,8
434,2019-11-24,good food channel,12
435,2019-12-01,good food channel,9
436,2019-12-08,good food channel,13
437,2019-12-15,good food channel,7
438,2019-12-22,good food channel,7
439,2019-12-29,good food channel,0
440,2020-01-05,good food channel,6
441,2020-01-12,good food channel,9
442,2020-01-19,good food channel,6
443,2020-01-26,good food channel,10
444,2020-02-02,good food channel,15
445,2020-02-09,good food channel,6
446,2020-02-16,good food channel,18
447,2020-02-23,good food channel,6
448,2020-03-01,good food channel,6
449,2020-03-08,good food channel,0
450,2019-03-31,italian food delivery,14
451,2019-04-07,italian food delivery,14
452,2019-04-14,italian food delivery,8
453,2019-04-21,italian food delivery,12
454,2019-04-28,italian food delivery,5
455,2019-05-05,italian food delivery,3
456,2019-05-12,italian food delivery,9
457,2019-05-19,italian food delivery,3
458,2019-05-26,italian food delivery,5
459,2019-06-02,italian food delivery,3
460,2019-06-09,italian food delivery,5
461,2019-06-16,italian food delivery,3
462,2019-06-23,italian food delivery,3
463,2019-06-30,italian food delivery,3
464,2019-07-07,italian food delivery,8
465,2019-07-14,italian food delivery,4
466,2019-07-21,italian food delivery,5
467,2019-07-28,italian food delivery,7
468,2019-08-04,italian food delivery,3
469,2019-08-11,italian food delivery,3
470,2019-08-18,italian food delivery,10
471,2019-08-25,italian food delivery,8
472,2019-09-01,italian food delivery,8
473,2019-09-08,italian food delivery,3
474,2019-09-15,italian food delivery,8
475,2019-09-22,italian food delivery,3
476,2019-09-29,italian food delivery,3
477,2019-10-06,italian food delivery,6
478,2019-10-13,italian food delivery,0
479,2019-10-20,italian food delivery,3
480,2019-10-27,italian food delivery,3
481,2019-11-03,italian food delivery,6
482,2019-11-10,italian food delivery,3
483,2019-11-17,italian food delivery,6
484,2019-11-24,italian food delivery,4
485,2019-12-01,italian food delivery,5
486,2019-12-08,italian food delivery,8
487,2019-12-15,italian food delivery,5
488,2019-12-22,italian food delivery,37
489,2019-12-29,italian food delivery,26
490,2020-01-05,italian food delivery,16
491,2020-01-12,italian food delivery,12
492,2020-01-19,italian food delivery,25
493,2020-01-26,italian food delivery,25
494,2020-02-02,italian food delivery,23
495,2020-02-09,italian food delivery,40
