,date,variable,value
239,2019-12-29,ladana cafe,55
240,2020-01-05,ladana cafe,26
241,2020-01-12,ladana cafe,42
242,2020-01-19,ladana cafe,39
243,2020-01-26,ladana cafe,26
244,2020-02-02,ladana cafe,44
245,2020-02-09,ladana cafe,64
246,2020-02-16,ladana cafe,51
247,2020-02-23,ladana cafe,50
248,2020-03-01,ladana cafe,25
249,2020-03-08,ladana cafe,42
250,2019-03-31,cafe rouge cheese afternoon tea,0
251,2019-04-07,cafe rouge cheese afternoon tea,71
252,2019-04-14,cafe rouge cheese afternoon tea,100
253,2019-04-21,cafe rouge cheese afternoon tea,0
254,2019-04-28,cafe rouge cheese afternoon tea,0
255,2019-05-05,cafe rouge cheese afternoon tea,70
256,2019-05-12,cafe rouge cheese afternoon tea,0
257,2019-05-19,cafe rouge cheese afternoon tea,47
258,2019-05-26,cafe rouge cheese afternoon tea,62
259,2019-06-02,cafe rouge cheese afternoon tea,45
260,2019-06-09,cafe rouge cheese afternoon tea,45
261,2019-06-16,cafe rouge cheese afternoon tea,63
262,2019-06-23,cafe rouge cheese afternoon tea,0
263,2019-06-30,cafe rouge cheese afternoon tea,0
264,2019-07-07,cafe rouge cheese afternoon tea,47
265,2019-07-14,cafe rouge cheese afternoon tea,70
266,2019-07-21,cafe rouge cheese afternoon tea,48
267,2019-07-28,cafe rouge cheese afternoon tea,0
268,2019-08-04,cafe rouge cheese afternoon tea,46
269,2019-08-11,cafe rouge cheese afternoon tea,92
270,2019-08-18,cafe rouge cheese afternoon tea,48
271,2019-08-25,cafe rouge cheese afternoon tea,94
272,2019-09-01,cafe rouge cheese afternoon tea,91
273,2019-09-08,cafe rouge cheese afternoon tea,45
274,2019-09-15,cafe rouge cheese afternoon tea,45
275,2019-09-22,cafe rouge cheese afternoon tea,43
276,2019-09-29,cafe rouge cheese afternoon tea,0
277,2019-10-06,cafe rouge cheese afternoon tea,65
278,2019-10-13,cafe rouge cheese afternoon tea,87
279,2019-10-20,cafe rouge cheese afternoon tea,58
280,2019-10-27,cafe rouge cheese afternoon tea,87
281,2019-11-03,cafe rouge cheese afternoon tea,62
282,2019-11-10,cafe rouge cheese afternoon tea,84
283,2019-11-17,cafe rouge cheese afternoon tea,83
284,2019-11-24,cafe rouge cheese afternoon tea,61
285,2019-12-01,cafe rouge cheese afternoon tea,42
286,2019-12-08,cafe rouge cheese afternoon tea,43
287,2019-12-15,cafe rouge cheese afternoon tea,74
288,2019-12-22,cafe rouge cheese afternoon tea,97
289,2019-12-29,cafe rouge cheese afternoon tea,44
290,2020-01-05,cafe rouge cheese afternoon tea,0
291,2020-01-12,cafe rouge cheese afternoon tea,39
292,2020-01-19,cafe rouge cheese afternoon tea,62
293,2020-01-26,cafe rouge cheese afternoon tea,41
294,2020-02-02,cafe rouge cheese afternoon tea,41
295,2020-02-09,cafe rouge cheese afternoon tea,40
296,2020-02-16,cafe rouge cheese afternoon tea,40
297,2020-02-23,cafe rouge cheese afternoon tea,39
298,2020-03-01,cafe rouge cheese afternoon tea,66
299,2020-03-08,cafe rouge cheese afternoon tea,59
300,2019-03-31,cafe rouge bluewater,0
301,2019-04-07,cafe rouge bluewater,40
302,2019-04-14,cafe rouge bluewater,42
303,2019-04-21,cafe rouge bluewater,40
304,2019-04-28,cafe rouge bluewater,0
305,2019-05-05,cafe rouge bluewater,0
306,2019-05-12,cafe rouge bluewater,60
307,2019-05-19,cafe rouge bluewater,0
308,2019-05-26,cafe rouge bluewater,58
309,2019-06-02,cafe rouge bluewater,37
310,2019-06-09,cafe rouge bluewater,77
311,2019-06-16,cafe rouge bluewater,40
312,2019-06-23,cafe rouge bluewater,40
313,2019-06-30,cafe rouge bluewater,0
314,2019-07-07,cafe rouge bluewater,0
315,2019-07-14,cafe rouge bluewater,0
316,2019-07-21,cafe rouge bluewater,40
317,2019-07-28,cafe rouge bluewater,100
318,2019-08-04,cafe rouge bluewater,39
319,2019-08-11,cafe rouge bluewater,39
320,2019-08-18,cafe rouge bluewater,40
321,2019-08-25,cafe rouge bluewater,40
322,2019-09-01,cafe rouge bluewater,38
323,2019-09-08,cafe rouge bluewater,37
324,2019-09-15,cafe rouge bluewater,0
325,2019-09-22,cafe rouge bluewater,0
326,2019-09-29,cafe rouge bluewater,37
327,2019-10-06,cafe rouge bluewater,72
328,2019-10-13,cafe rouge bluewater,36
329,2019-10-20,cafe rouge bluewater,36
330,2019-10-27,cafe rouge bluewater,72
331,2019-11-03,cafe rouge bluewater,69
332,2019-11-10,cafe rouge bluewater,35
333,2019-11-17,cafe rouge bluewater,35
334,2019-11-24,cafe rouge bluewater,34
335,2019-12-01,cafe rouge bluewater,35
336,2019-12-08,cafe rouge bluewater,0
337,2019-12-15,cafe rouge bluewater,37
338,2019-12-22,cafe rouge bluewater,40
339,2019-12-29,cafe rouge bluewater,37
340,2020-01-05,cafe rouge bluewater,67
341,2020-01-12,cafe rouge bluewater,0
342,2020-01-19,cafe rouge bluewater,35
343,2020-01-26,cafe rouge bluewater,34
344,2020-02-02,cafe rouge bluewater,69
345,2020-02-09,cafe rouge bluewater,33
346,2020-02-16,cafe rouge bluewater,56
347,2020-02-23,cafe rouge bluewater,33
348,2020-03-01,cafe rouge bluewater,33
349,2020-03-08,cafe rouge bluewater,0
350,2019-03-31,bangkok cafe,35
351,2019-04-07,bangkok cafe,52
352,2019-04-14,bangkok cafe,36
353,2019-04-21,bangkok cafe,52
354,2019-04-28,bangkok cafe,84
355,2019-05-05,bangkok cafe,69
356,2019-05-12,bangkok cafe,35
357,2019-05-19,bangkok cafe,35
358,2019-05-26,bangkok cafe,34
359,2019-06-02,bangkok cafe,33
360,2019-06-09,bangkok cafe,50
361,2019-06-16,bangkok cafe,68
362,2019-06-23,bangkok cafe,51
363,2019-06-30,bangkok cafe,51
364,2019-07-07,bangkok cafe,33
365,2019-07-14,bangkok cafe,34
366,2019-07-21,bangkok cafe,0
367,2019-07-28,bangkok cafe,58
368,2019-08-04,bangkok cafe,0
369,2019-08-11,bangkok cafe,100
370,2019-08-18,bangkok cafe,35
371,2019-08-25,bangkok cafe,68
372,2019-09-01,bangkok cafe,33
373,2019-09-08,bangkok cafe,0
374,2019-09-15,bangkok cafe,33
375,2019-09-22,bangkok cafe,32
376,2019-09-29,bangkok cafe,64
377,2019-10-06,bangkok cafe,52
378,2019-10-13,bangkok cafe,32
379,2019-10-20,bangkok cafe,31
380,2019-10-27,bangkok cafe,32
381,2019-11-03,bangkok cafe,0
382,2019-11-10,bangkok cafe,51
383,2019-11-17,bangkok cafe,61
384,2019-11-24,bangkok cafe,0
385,2019-12-01,bangkok cafe,0
386,2019-12-08,bangkok cafe,93
387,2019-12-15,bangkok cafe,0
388,2019-12-22,bangkok cafe,70
389,2019-12-29,bangkok cafe,48
390,2020-01-05,bangkok cafe,30
391,2020-01-12,bangkok cafe,58
392,2020-01-19,bangkok cafe,45
393,2020-01-26,bangkok cafe,30
394,2020-02-02,bangkok cafe,90
395,2020-02-09,bangkok cafe,44
396,2020-02-16,bangkok cafe,49
397,2020-02-23,bangkok cafe,28
398,2020-03-01,bangkok cafe,58
399,2020-03-08,bangkok cafe,64
400,2019-03-31,whiteways cafe,0
401,2019-04-07,whiteways cafe,51
402,2019-04-14,whiteways cafe,0
403,2019-04-21,whiteways cafe,51
404,2019-04-28,whiteways cafe,0
405,2019-05-05,whiteways cafe,0
